email,fullName,phone,cardToken,maskedPan,expiry,brand,issuerCountryCode,issuerCountryName,amount,createdAt,txExternalId
user0000@example.com,Anna Tkachenko,+380914765769,tok_000063,4368********4962,01/26,VISA,RO,Romania,347.32,2026-02-10T18:25:41.8210176Z,tx_6758912dfdcd4f40b303cda157f86ca8
user0042@example.com,Olena Koval,+380667707517,tok_000017,0255********9688,04/28,VISA,IT,Italy,408.04,2026-02-07T22:46:41.8210176Z,tx_841c9acef61e4fd1878f5a6c1b72997c
user0010@example.com,Kateryna Bondarenko,+380691352791,tok_000075,5843********9689,09/26,VISA,UA,Ukraine,248.97,2026-01-31T03:09:41.8210176Z,tx_9f0582b2745f4397897e0b9bd909bb92
user0009@example.com,Vika Koval,+380500943990,tok_000048,8363********2062,12/30,MASTERCARD,GB,United Kingdom,122.68,2026-02-18T16:36:41.8210176Z,tx_b8494994af0048f19691f4b5a06daf6a
user0044@example.com,Anna Kravchenko,+380562128055,tok_000098,2353********2114,03/32,MASTERCARD,UA,Ukraine,229.45,2026-02-12T14:28:41.8210176Z,tx_5079dbfd815a43d78271d43d11586dc6
user0016@example.com,Kateryna Shevchenko,+380640910328,tok_000094,5510********9212,08/28,VISA,FR,France,449.66,2026-01-31T21:24:41.8210176Z,tx_f928c44cf92744faa2509e558c5e7fce
user0043@example.com,Sofia Koval,+380549957410,tok_000057,1438********5192,07/28,VISA,RO,Romania,104.65,2026-02-21T00:08:41.8210176Z,tx_07f1872ab3584ec985bc9617abc9ac5e
user0043@example.com,Daria Koval,+380511174992,tok_000016,5811********9718,03/31,MASTERCARD,FR,France,325.87,2026-02-22T13:07:41.8210176Z,tx_d75519d287084c128a556ec11ce727b9
user0006@example.com,Maria Shevchenko,+380947289411,tok_000033,5236********4287,02/33,MASTERCARD,FR,France,365.38,2026-02-13T01:57:41.8210176Z,tx_c4caeaf8782c410496664076d61cbe3b
user0031@example.com,Sofia Melnyk,+380508960679,tok_000052,5594********4170,03/33,MASTERCARD,ES,Spain,99.47,2026-02-23T01:32:41.8210176Z,tx_9a3a339bdef64957b8f3c456dc7ccd55
user0021@example.com,Iryna Bondarenko,+380998434096,tok_000034,5206********7916,08/30,MASTERCARD,IT,Italy,172.34,2026-02-14T03:25:41.8210176Z,tx_190a3674550c46cd86c807d4a80fac1b
user0047@example.com,Vika Bondarenko,+380961114529,tok_000000,4349********1978,09/28,VISA,PL,Poland,241.28,2026-02-24T20:20:41.8210176Z,tx_e73d641e62504948b5a9580c8d1ec639
user0010@example.com,Vika Tkachenko,+380509985335,tok_000043,7206********2251,05/29,MASTERCARD,CZ,Czechia,46.52,2026-02-12T06:10:41.8210176Z,tx_d78d43a607a24e5eafc80f3da78c58fd
user0005@example.com,Kateryna Shevchenko,+380991712932,tok_000089,7123********4004,05/32,VISA,DE,Germany,220.25,2026-02-21T10:21:41.8210176Z,tx_82962ae92552496494da24c07f4b36dd
user0030@example.com,Kateryna Koval,+380936097984,tok_000113,7720********9982,01/33,VISA,PL,Poland,451.79,2026-02-16T01:22:41.8210176Z,tx_a5cd50b794c142beb7b76078b2f66e3f
user0031@example.com,Sofia Tkachenko,+380839161193,tok_000088,2858********1444,05/30,AMEX,PL,Poland,80.99,2026-01-30T20:46:41.8210176Z,tx_81e4b362e0784e61b5572db078e71a62
user0038@example.com,Maria Melnyk,+380935966767,tok_000110,3633********6189,07/27,AMEX,RO,Romania,168.6,2026-02-14T18:19:41.8210176Z,tx_4698a974826a42b8b3f34d81ec71e8d6
user0028@example.com,Vika Shevchenko,+380721405096,tok_000008,7418********3498,03/29,MASTERCARD,UA,Ukraine,184.83,2026-01-30T15:56:41.8210176Z,tx_fe0fcfe31f094d798ec40613e2933c12
user0017@example.com,Olena Bondarenko,+380518766825,tok_000105,0453********9774,10/29,MASTERCARD,UA,Ukraine,358.34,2026-02-04T06:46:41.8210176Z,tx_883f951229434777affd6db41b8dc686
user0025@example.com,Olena Kravchenko,+380543712298,tok_000099,5256********6364,03/27,VISA,PL,Poland,465.91,2026-02-07T16:57:41.8210176Z,tx_373f69707f294c06a199754b1306d709
user0021@example.com,Anna Tkachenko,+380984279786,tok_000022,5258********5144,01/29,VISA,PL,Poland,444.66,2026-01-30T19:35:41.8210176Z,tx_b99ffc88710d48eeb608c593b632a483
user0047@example.com,Olena Koval,+380902090979,tok_000055,3603********3506,05/26,AMEX,PL,Poland,481.4,2026-02-04T13:09:41.8210176Z,tx_6cad178be2a240949fa6fea1181a936c
user0049@example.com,Daria Shevchenko,+380600635587,tok_000083,3354********3790,05/29,AMEX,IT,Italy,259.77,2026-02-11T14:14:41.8210176Z,tx_3b2c958e8310413a81d169543f7f20ba
user0000@example.com,Olena Bondarenko,+380797073120,tok_000055,6060********8488,07/34,AMEX,ES,Spain,492.47,2026-02-20T11:54:41.8210176Z,tx_0139d53a233f4e1f9d8c93c6e23e5466
user0048@example.com,Kateryna Bondarenko,+380523601345,tok_000090,5400********7818,08/31,VISA,UA,Ukraine,61.22,2026-01-31T23:52:41.8210176Z,tx_2e901402180d4584b3102bf4edd6daa4
user0036@example.com,Iryna Bondarenko,+380848330966,tok_000105,9291********4190,11/26,VISA,ES,Spain,117.35,2026-02-02T16:53:41.8210176Z,tx_692062c0d907411f8e19463e26841dea
user0022@example.com,Olena Melnyk,+380765241246,tok_000038,5903********9468,09/32,AMEX,FR,France,385.73,2026-02-14T21:53:41.8210176Z,tx_7793ff4f894044b3b8044dc953c32dbb
user0018@example.com,Vika Bondarenko,+380976469182,tok_000088,0234********9024,04/27,AMEX,ES,Spain,139.14,2026-02-09T09:07:41.8210176Z,tx_c97528f6405f40acb721e833c3b30d1a
user0049@example.com,Kateryna Kravchenko,+380609483057,tok_000108,7268********3876,10/31,AMEX,PL,Poland,460.76,2026-01-28T18:56:41.8210176Z,tx_fe1d3191e75346469ba8c62dce75505c
user0031@example.com,Iryna Shevchenko,+380929095952,tok_000107,5898********7368,03/29,MASTERCARD,US,United States,148.15,2026-02-01T18:57:41.8210176Z,tx_79d1fa7d81724cf887ee987e19976869
user0003@example.com,Kateryna Shevchenko,+380671262106,tok_000118,3706********8633,06/28,VISA,RO,Romania,189.73,2026-02-13T09:34:41.8210176Z,tx_39a4840a78464c2c86dc5c6966eef5ba
user0047@example.com,Sofia Tkachenko,+380542524623,tok_000041,3814********4625,02/30,VISA,CZ,Czechia,78.75,2026-02-24T00:31:41.8210176Z,tx_8e35fb732c844254a91345726591d685
user0034@example.com,Kateryna Shevchenko,+380711037051,tok_000049,0064********3789,08/31,VISA,UA,Ukraine,452.26,2026-01-28T01:37:41.8210176Z,tx_bed2814b04584b02956153a1ace2f97d
