email,fullName,phone,cardToken,maskedPan,expiry,brand,issuerCountryCode,issuerCountryName,amount,createdAt,txExternalId
user0002@example.com,Iryna Koval,+380958175996,tok_000059,0839********4283,06/30,VISA,RO,Romania,459.61,2026-02-05T05:40:42.5436435Z,tx_277b9c957c9b40c6b75827cad8ac8740
user0028@example.com,Anna Bondarenko,+380570919082,tok_000107,3218********0254,08/30,VISA,DE,Germany,155.9,2026-02-04T01:25:42.5436435Z,tx_2e371209b35d4171a84060ad60302899
user0017@example.com,Daria Koval,+380501375121,tok_000012,2009********8486,09/33,MASTERCARD,GB,United Kingdom,149.44,2026-02-17T21:11:42.5436435Z,tx_85bd337c0d7040b8bfa7c36790407fe6
user0027@example.com,Daria Bondarenko,+380985475930,tok_000095,5046********2847,05/29,MASTERCARD,FR,France,350.93,2026-02-11T18:26:42.5436435Z,tx_3f0e27b69b9046e4997ed55a547a7eca
user0025@example.com,Sofia Shevchenko,+380720837022,tok_000023,6952********2347,07/30,AMEX,DE,Germany,393.22,2026-02-16T16:38:42.5436435Z,tx_d25aba744e5e4d258adc8389239140e8
user0027@example.com,Vika Kravchenko,+380809760237,tok_000001,7891********6058,12/34,VISA,DE,Germany,36.86,2026-02-14T00:46:42.5436435Z,tx_6a635bea3f0742d2a4209463260947d0
user0027@example.com,Anna Shevchenko,+380580202934,tok_000075,3646********5966,06/32,VISA,RO,Romania,190.52,2026-02-11T00:31:42.5436435Z,tx_69f071bd01bd4af6b33ed67052550eae
user0036@example.com,Iryna Bondarenko,+380850014621,tok_000093,3107********2550,01/33,MASTERCARD,FR,France,391.56,2026-01-24T21:44:42.5436435Z,tx_82ee2811de5d434e817f84ed4c0857e0
user0000@example.com,Olena Tkachenko,+380836833260,tok_000045,6721********6501,02/30,VISA,US,United States,51.24,2026-01-26T18:11:42.5436435Z,tx_619ea1046aa8404da184b423fd65d49c
user0000@example.com,Sofia Tkachenko,+380779988851,tok_000092,4364********5328,09/31,VISA,GB,United Kingdom,418.76,2026-02-15T18:30:42.5436435Z,tx_3cd213ee93e2402ea523f74779c61ac8
user0003@example.com,Iryna Shevchenko,+380969840339,tok_000098,5419********4370,09/27,AMEX,ES,Spain,136.7,2026-02-15T21:42:42.5436435Z,tx_95cb50b85d684247a2ba211069ab8f4b
user0006@example.com,Iryna Koval,+380716310326,tok_000093,7581********8615,02/28,AMEX,RO,Romania,225.03,2026-02-06T00:05:42.5436435Z,tx_90657976689d425a89529150fefbe2ed
user0033@example.com,Kateryna Kravchenko,+380784265237,tok_000094,4839********2785,08/30,AMEX,RO,Romania,98.42,2026-01-31T09:05:42.5436435Z,tx_623b2341a7f2429b8cb42aa5ad6dfc2c
user0010@example.com,Maria Kravchenko,+380526544724,tok_000093,5516********9807,02/29,VISA,RO,Romania,497.91,2026-02-08T14:51:42.5436435Z,tx_7e8cd2c4cb4a44e8bd155596682e8719
user0045@example.com,Daria Kravchenko,+380805918434,tok_000056,7703********2865,12/26,MASTERCARD,GB,United Kingdom,288.7,2026-02-06T20:24:42.5436435Z,tx_21ade303cdee4be4b780e99d08a99a35
user0023@example.com,Sofia Kravchenko,+380888118416,tok_000031,8656********9688,02/32,MASTERCARD,US,United States,325.72,2026-01-29T11:14:42.5436435Z,tx_9e63976478c0402ba0ac46fa62c0b9e5
user0011@example.com,Olena Tkachenko,+380945261222,tok_000038,8434********2069,12/29,VISA,PL,Poland,151.62,2026-01-27T06:38:42.5436435Z,tx_6e356f6085e64cc09a148d2cae88317c
user0004@example.com,Anna Tkachenko,+380706095887,tok_000008,3962********5511,06/31,MASTERCARD,GB,United Kingdom,395.13,2026-01-31T20:16:42.5436435Z,tx_da8007e2c8c744c5a7380c3d74fb06ea
user0039@example.com,Daria Bondarenko,+380864536741,tok_000091,0751********5098,12/31,MASTERCARD,US,United States,318.76,2026-01-24T09:16:42.5436435Z,tx_5673ad20d03c403c9d92f29b1f0db369
